inchikey,validated,pAct_pre,n_pre
QSUZKISJHDJAOP-WKILWMFISA-N,1,,0
OMGQCEITFUGYJF-YEPDHIAXSA-N,1,,0
PKOXYVFXXHZYKA-QWFCFKBJSA-N,1,,0
OFNJFDWFNZIXMI-KESTWPANSA-N,1,,0
JMFUJUHOBGECJQ-QAQDUYKDSA-N,1,,0
OFWBNRKDYGFFGN-QRTMHTFLSA-N,1,,0
UYNTZKCUFSBUOJ-UHFFFAOYSA-N,1,,0
BLTQTSIKHDZFTP-QPPLWRQOSA-N,1,,0
RGWPRPGUMAJABR-YCFKULOQSA-N,1,,0
AJKWTVBJXNYTPH-FVUUGDKNSA-N,1,,0
APQHSBNBSWHBSZ-KESTWPANSA-N,1,,0
NIJWMLBNDUWVQH-IYARVYRRSA-N,1,,0
YJHMYPHXIJOCOQ-UHFFFAOYSA-N,1,,0
YDLWLYDTYNHXBM-UHFFFAOYSA-N,1,10.070581074285707,1
XGFFXWPMGJJBFH-KESTWPANSA-N,1,,0
GKTINDHAZROOEF-XUTJKUGGSA-N,1,,0
MLURUQHLUHYMEL-YVWKXTFCSA-N,1,,0
WZQXXUHEORDTMN-LEWJYISDSA-N,1,,0
WAZOEZSHZLLENC-KLYXCBONSA-N,1,,0
RGWGDYMUCXDODX-XUTJKUGGSA-N,1,,0
PUVBZHHLUFJVIL-SAABIXHNSA-N,1,,0
SFIXZGTVVWNOSY-QRFRQXIXSA-N,1,,0
IJKACRJOPXDGDS-UHFFFAOYSA-N,1,,0
KMIIKERMEYOZTK-PGWJBFNOSA-N,1,,0
PNDDOSJAKNIYIV-QAQDUYKDSA-N,1,,0
ZTUVVTSLJSCZMY-UAPYVXQJSA-N,1,,0
AFUSDDXNVRXJFU-KJDSRRNHSA-N,1,,0
OGKVKDKJRLURJP-QAQDUYKDSA-N,1,,0
NQPMEVDLXOHCCR-UHFFFAOYSA-N,1,,0
BGBRLHVYFFIIIM-JCTBFJPBSA-N,1,,0
JMYVVZJJTRVCDC-UHFFFAOYSA-N,1,10.00436480540245,1
VITUDJAVASFPKN-DEOSSOPVSA-N,1,10.0,1
KWZBJWOQFABHPF-UHFFFAOYSA-N,1,,0
OAUBLUIXSXPHTA-IYARVYRRSA-N,1,,0
LFSNQCYUKYZKTM-IYARVYRRSA-N,1,,0
OVCKLMKHELICSW-CQOQZXRMSA-N,1,,0
AXWHEAPHZLQQJC-JCNLHEQBSA-N,1,,0
DGKURWUVIVQHCD-UHFFFAOYSA-N,1,9.978810700930062,1
XDIPGTFTRLCMJN-RZJSWYKGSA-N,1,,0
SDPSCMJWIDFOEZ-SAABIXHNSA-N,1,,0
MWYSFMDHBGHGSI-UHFFFAOYSA-N,1,,0
RDYIEETWSJIEMH-KESTWPANSA-N,1,,0
RWQUXQWRQIGSHJ-QAQDUYKDSA-N,1,,0
WELSMEFKUXDCLH-XUTJKUGGSA-N,1,,0
DABZIXMFPZVHTF-XUTJKUGGSA-N,1,,0
INHNATSHBKJSGN-UAPYVXQJSA-N,1,,0
SBWQGFPWQUSXLS-LYFUNVNOSA-N,1,,0
SVQMUKSPRVEFME-YIQCUVMYSA-N,1,,0
PTUNPPZTSHFJHC-UHFFFAOYSA-N,1,9.920818753952375,1
PFLVUDAFKXUKEV-UHFFFAOYSA-N,1,9.920818753952375,1
IUDLGCVTTLUKGF-QAQDUYKDSA-N,1,,0
FNMHRIVKENCKLK-IGGCZAQCSA-N,1,,0
FWMIDKRMSILWNA-IYARVYRRSA-N,1,,0
UIFXBTKQVKHNLS-SAABIXHNSA-N,1,,0
WZWRNSLQPLMVBF-QAQDUYKDSA-N,1,,0
RPTDCWYNUAKXPN-OJBMAJLDSA-N,1,,0
LBYNXCSSGDKEPL-ZWKOTPCHSA-N,1,,0
HSCUDLWMSFZPQC-SMQSCJQKSA-N,1,,0
JJZYJNHNBLRMSV-SYYKKAFVSA-N,1,,0
GFYPLRKHLRVZID-SFHLNBCPSA-N,1,,0
PUXZKIZAAABQFP-AQYVVDRMSA-N,1,,0
UPWPDOXZYFFWOS-UHFFFAOYSA-N,1,,0
UTFOVXIJDJSMKK-VWLOTQADSA-N,1,9.92021640338319,10
AADCDMQTJNYOSS-LBPRGKRZSA-N,1,9.834387609489633,2
JFBMKPAJRCILMR-UHFFFAOYSA-N,1,,0
OVCZXWAILUTIOQ-UHFFFAOYSA-N,1,9.886056647693163,2
QVWNZRUILCXOBY-YIQCUVMYSA-N,1,,0
NIIZBIHFOWYVTO-GNWSRGIHSA-N,1,,0
DPVXQZQCRKUMLB-WGSAOQKQSA-N,1,,0
MWXWYXYVNMABPU-UAPYVXQJSA-N,1,,0
ZBFUMDILDZBFFX-DHYNVXFASA-N,1,,0
NIIYYNMLJBPZMZ-JKSUJKDBSA-N,1,,0
NQOMONLOFJNENB-IYARVYRRSA-N,1,,0
AXGNSCJOHWKGNC-NZFXNERUSA-N,1,,0
KRNLFYUCQHYKNH-KJDSRRNHSA-N,1,,0
ZIXSDYOKURBREP-IYARVYRRSA-N,1,,0
XOMRUHWGUJNGLC-AFARHQOCSA-N,1,9.853871964321762,2
KPLQQMQZQUMPCN-UHFFFAOYSA-N,1,9.853871964321762,1
KHUQUWFRCNWUQH-WGSAOQKQSA-N,1,,0
SFDFLIFDKGORAT-KESTWPANSA-N,1,,0
MTHGNUDPACETSB-HMRCJKRNSA-N,1,,0
NEVZTCJUOYESGL-RZJSWYKGSA-N,1,,0
RFWMMUCBGJUDDD-MIRVZWSXSA-N,1,,0
AVBOEALXXMIBAR-WGSAOQKQSA-N,1,,0
WHNDUGSFHPQVOW-YGXOWLSWSA-N,1,,0
NEIFIHLUPPCEQL-AFARHQOCSA-N,1,,0
KPMLSODFRCJODQ-UAPYVXQJSA-N,1,,0
UGMMZTANOLIPDJ-UAPYVXQJSA-N,1,,0
JGXVHHJVAUYNIF-UAPYVXQJSA-N,1,,0
OIJAOTPYMBONBE-SFHLNBCPSA-N,1,,0
NYCAEWGZMHUFLY-XUTJKUGGSA-N,1,,0
DVVDLSCUPMTBKI-UHFFFAOYSA-N,1,,0
ARTYMOMXSPBDNS-ULQDDVLXSA-N,1,,0
XSKRLZXLIVVXHO-UHFFFAOYSA-N,1,,0
IZZMBWJXQOJUHH-JOCHJYFZSA-N,1,9.79997073344623,1
BKJGKGPGPACEQW-JTQLQIEISA-N,1,9.795880017344075,1
JCSREICEMHWFAY-HGCGQDOSSA-N,1,9.795880017344075,1
MNXNYFBCTGEMEN-IYARVYRRSA-N,1,,0
FIJPMMPGAZUPGI-LEWJYISDSA-N,1,,0
BVCCYDFGXLDTIH-WGSAOQKQSA-N,1,,0
IYUXTQUHGHENIF-XGAFWQRZSA-N,1,,0
XWTDQRZJIQBPTH-VQTJNVASSA-N,1,,0
HNRDJYILRSRTOJ-JCNLHEQBSA-N,1,,0
QVWNZRUILCXOBY-GUDVDZBRSA-N,1,,0
FNNXWXFDPGCSNX-XUTJKUGGSA-N,1,,0
DVVDLSCUPMTBKI-IRJFHVNHSA-N,1,,0
SUTCZLHSJOQUEU-KESTWPANSA-N,1,,0
UPVXFLPSBHVUGK-UHFFFAOYSA-N,1,,0
DPJFJYDSIWERHB-NSCUHMNNSA-N,1,,0
XKDKQVRKVICXBR-IVHGUIJPSA-N,1,,0
ZEJGFUORSVMUEP-XIRDDKMYSA-N,1,,0
IIESJQKRXCMWAC-FVUUGDKNSA-N,1,,0
VJEFULHYJJGZPU-SAABIXHNSA-N,1,,0
TZHDOGYRHPETAK-JCNLHEQBSA-N,1,,0
ZWLRISKBHMJXJU-UAPYVXQJSA-N,1,,0
XJSNUYSRIVRHKR-GRGJZFFOSA-N,1,,0
PPNVEHNMOQYPLB-QAQDUYKDSA-N,1,,0
FFSNUOARHPWUIL-UAPYVXQJSA-N,1,,0
YUQSRDBNOFGTEH-KCZVDYSFSA-N,1,,0
KKOVIGNMWZIDFQ-UHFFFAOYSA-N,1,,0
YXLMDXDARNJQRB-JCNLHEQBSA-N,1,,0
QIUOKLGCJSMRSR-SAABIXHNSA-N,1,,0
IEZLUUHSTFBOBK-LBEPJEHYSA-N,1,,0
LGLAXVZDUIMUSC-UHFFFAOYSA-N,1,,0
JJDMYYLIPNQZQN-UHFFFAOYSA-N,1,,0
BKRGVLQUQGGVSM-KBXCAEBGSA-N,1,9.309704458386584,2
CGCDEESEQCYCIB-UHFFFAOYSA-N,1,,0
HZINVGWYTDHAFA-UHFFFAOYSA-N,1,9.744727494896694,1
HTHHKXUTDJTRGL-AFARHQOCSA-N,1,,0
IONAUXJNMRGVRI-UAPYVXQJSA-N,1,,0
IWALVTABIRHYMJ-QFTWOCFFSA-N,1,,0
QJERAWQQAOXOKR-SAUNMDRZSA-N,1,,0
VXTINWNGKOZZIK-XGAFWQRZSA-N,1,,0
XAEGPGYCBVFNJE-KESTWPANSA-N,1,,0
DCCITNRSVJBGMS-KESTWPANSA-N,1,,0
CJSWEVQUNWOTCF-KESTWPANSA-N,1,,0
JDGWCJQTEUISIR-GGYDESQDSA-N,1,,0
XUKSGYGUDPUQCB-SIKLNZKXSA-N,1,,0
MDTYNDPHGHTQTJ-QHCPKHFHSA-N,1,9.730487055782083,1
ZLYZZQJTZBMSMX-DEOSSOPVSA-N,1,9.721246399047171,1
QJRUCZBGBMXWPF-AQYVVDRMSA-N,1,,0
AMFZVTYRKIIUHJ-OWWJJEGGSA-N,1,,0
MMNIVLFMZPOKNE-MXVIHJGJSA-N,1,,0
UKVNVIVEPLGCBQ-JCNLHEQBSA-N,1,,0
MGLROOVVYGGYLB-WKILWMFISA-N,1,,0
LLHCWQNGFVSDKL-SQHAQQRYSA-N,1,9.700057099977233,1
OKHRWBVXVXXGLN-UHFFFAOYSA-N,1,9.700057099977233,1
YECOTWMMKZQQAE-UHFFFAOYSA-N,1,9.700057099977233,1
RISZOHTXHUANFZ-UHFFFAOYSA-N,1,9.699513552156626,2
IWUPLAFLTUWLMF-GOSISDBHSA-N,1,9.698970004336019,1
DMVANBWXLUGNDG-UHFFFAOYSA-N,1,9.698970004336019,1
UYSUVIPTEFGQSA-UHFFFAOYSA-N,1,,0
VUSBFQZSDADXBE-UHFFFAOYSA-N,1,,0
SWMWIPKNFRXYGJ-UHFFFAOYSA-N,1,,0
YNYDYHAGYPXNNN-SAABIXHNSA-N,1,,0
RVWPDWZOIDVHIU-LSDHHAIUSA-N,1,,0
CHOIZZRTZYWAEG-QAQDUYKDSA-N,1,,0
ZYDBRNKSTBPXRH-QAQDUYKDSA-N,1,,0
NIBPDBNUZFUPIR-IYARVYRRSA-N,1,,0
RRJQXEPYGACJSE-JKIUYZKVSA-N,1,,0
CHFNGKXNJCPICF-KESTWPANSA-N,1,,0
HXYOWUYUMZFBLT-IYARVYRRSA-N,1,,0
OAQYNXQHFCWRFX-NUDCOPPTSA-N,1,,0
RDWUPEKDNFAEMT-GRXNBEMRSA-N,1,,0
IDWJNGMFAPCILL-IYARVYRRSA-N,1,,0
CYHOPBNLDJUVAX-OWWJJEGGSA-N,1,,0
OWLVWXYRTGDNMM-IYARVYRRSA-N,1,,0
VNNNOJMMKZKFEA-UHFFFAOYSA-N,1,,0
ZEUBNARLFXEIJD-UHFFFAOYSA-N,1,,0
HMTJKRFRBLRBNL-BVAGGSTKSA-N,1,,0
VGOAURMKLDUSEO-UHFFFAOYSA-N,1,9.67778070526608,1
JCSREICEMHWFAY-UHFFFAOYSA-N,1,9.67778070526608,1
OVKBSFKFSBQCLW-LJAQVGFWSA-N,1,,0
LBNGJZBDUWZGLH-UAPYVXQJSA-N,1,,0
WMQLLTKSISGWHQ-WKILWMFISA-N,1,,0
IWYJMDHFHLLTOE-WGSAOQKQSA-N,1,,0
CLRYURPPBOMVCN-KESTWPANSA-N,1,,0
OXEBBPWCOUTLBS-XUTJKUGGSA-N,1,,0
WONAHXSYCVEMFZ-JCNLHEQBSA-N,1,,0
QAECXZXKVURFMR-LBPRGKRZSA-N,1,9.657577319177793,1
IOKDDLUMOKQUEG-WGSAOQKQSA-N,1,,0
XSHRDEIBCLNUGC-MIRVZWSXSA-N,1,,0
VVODYFOWICQKRF-XYWHTSSQSA-N,1,,0
QFFHKTGTQLEPSD-SMQSCJQKSA-N,1,,0
PTBUPSWCTVUVPR-AFARHQOCSA-N,1,,0
AASBFJIEFSDMGW-VHPWLNBFSA-N,1,,0
GHTMTRPUXJGASR-XYWHTSSQSA-N,1,,0
JPNVWOLGTXJVFQ-XUTJKUGGSA-N,1,,0
AENHFZZMNBETCL-UHFFFAOYSA-N,1,,0
KFMBPIZMZUDONQ-UHFFFAOYSA-N,1,9.638272163982407,7
OTFGIKBDQRIECS-UHFFFAOYSA-N,1,9.638272163982407,1
KYGUWADEZNRGLX-IYARVYRRSA-N,1,,0
LSQJPMUMQFFZON-LYXWCMDISA-N,1,,0
UZWFPAGPMDHLOW-IHRKKFBRSA-N,1,,0
IOMZYSDKSLXMQC-XUTJKUGGSA-N,1,,0
CAIGDBOMRARVPM-MIRVZWSXSA-N,1,,0
USLVOMPDACWTJR-UHFFFAOYSA-N,1,,0
BZDRSIBAGZRBSC-UHFFFAOYSA-N,1,,0
ZGFFHDZTIIMMPT-BZSNNMDCSA-N,1,,0
UXVSPCRUHCDGHS-UHFFFAOYSA-N,1,,0
OVRYUDOMQFGLII-NRFANRHFSA-N,1,9.619788758288394,1
SVQJCNSOIUXANV-IYARVYRRSA-N,1,,0
XOUPKGAJLSOMOY-WGSAOQKQSA-N,1,,0
FVQPLTGWKDOVQS-IYARVYRRSA-N,1,,0
DEJLBFQQDJSQMU-XUTJKUGGSA-N,1,,0
OGRYOYIDGBUEFL-XUTJKUGGSA-N,1,,0
BXKFXOACSNDHEK-QYBDOPJKSA-N,1,,0
DHAAPGIEGBCWTO-IYARVYRRSA-N,1,,0
OSFGBHRMZGLGDA-WKILWMFISA-N,1,,0
RDRRNTYOUDJHNF-UHFFFAOYSA-N,1,,0
NOUYXTFEXJHBRE-UHFFFAOYSA-N,1,9.610924374808178,4
POFDQHAFICYDAQ-UHFFFAOYSA-N,1,9.609948503541013,1
DGRHJZMAQQIHDX-BWKNWUBXSA-N,1,,0
KLFRUTOTKKRLHR-UHFFFAOYSA-N,1,9.602059991327963,1
IPRYGZPENCDGPQ-UHFFFAOYSA-N,1,9.602059991327963,1
HCQPBJDAJVESML-UHFFFAOYSA-N,1,,0
DCVYADGMMVMIBW-VQTJNVASSA-N,1,,0
ANUOVSVJABNEPR-AQYVVDRMSA-N,1,,0
NWCJFZMQGGIAAN-GGYDESQDSA-N,1,,0
XFNMWPWYPXOJNL-SHTZXODSSA-N,1,,0
YHFJWUFDUIOAOW-XUTJKUGGSA-N,1,,0
RKDURTQUESFRCI-NUDCOPPTSA-N,1,,0
POAVMWZFLHERGE-KJDSRRNHSA-N,1,,0
BYVRVQNZFICZEB-OAQYLSRUSA-N,1,9.600326278518962,1
DFUHQLOJRVHHKU-UHFFFAOYSA-N,1,9.599980364934842,1
AZHWBKISPLORGA-UHFFFAOYSA-N,1,9.599980364934842,1
AREYZFZATPKFNP-UHFFFAOYSA-N,1,9.599980364934842,1
AWJOAMPQOUEKCN-KDYSTLNUSA-N,1,9.599980364934842,1
ODIJMXCJWMOZFJ-PGRDOPGGSA-N,1,9.599980364934842,1
ZZJYIKPMDIWRSN-HWBMXIPRSA-N,1,10.397940008672037,1
NMEPMLDUQJFQOK-KCWPFWIISA-N,1,,0
TVENMNGVXOQXLP-UHFFFAOYSA-N,1,9.585026652029182,4
CPWJJWMVFFZCGJ-IBGZPJMESA-N,1,9.585026652029182,1
CPWJJWMVFFZCGJ-UHFFFAOYSA-N,1,9.585026652029182,1
UMTWXZNVNBBFLC-SHTZXODSSA-N,1,,0
GZSFYWPBBDGROV-SMQSCJQKSA-N,1,,0
LMTZTESHSHMVNE-ZWKOTPCHSA-N,1,,0
SEEYDRHSWVYCLV-OFUUFJSKSA-N,1,,0
WWGZVJLTFFUDLI-UAPYVXQJSA-N,1,,0
ITIATPRLDJMYTO-RDGATRHJSA-N,1,,0
QHJLPOSPWKZACG-UHFFFAOYSA-N,1,9.576754126063193,1
UPKZNVQHJZHSGN-UHFFFAOYSA-N,1,9.568636235841012,1
OLFPBASVCZUWSQ-UHFFFAOYSA-N,1,9.568636235841012,1
KPWSJANDNDDRMB-QAQDUYKDSA-N,1,8.904333189143353,4
MZBZALUTJALVLT-WKILWMFISA-N,1,,0
OSXORBBNIVOHKD-QAQDUYKDSA-N,1,,0
SIOPVRAJJRRPHX-XDPCMZJYSA-N,1,,0
DRHKJLXJIQTDTD-OAHLLOKOSA-N,1,9.55284196865778,1
IUKPIALDWLVDKD-KOAQGZTJSA-N,1,,0
UFMVMASXCZSNCW-XUTJKUGGSA-N,1,,0
CHGQHUPEIRRCOX-MIRVZWSXSA-N,1,,0
GKYCMCAEMPRKBH-UHFFFAOYSA-N,1,9.551450489942221,2
IJKCMXOYXRJELY-ZDUSSCGKSA-N,1,,0
OXVZLPIGSCONSD-UHFFFAOYSA-N,1,9.537602002101044,1
FEBOTPHFXYHVPL-UHFFFAOYSA-N,1,,0
OIRZLTZLOKARTG-HXUWFJFHSA-N,1,,0
BNSLCCULUHMZBQ-KESTWPANSA-N,1,,0
DRDNXPOWBJOJRJ-RZFKFIIISA-N,1,,0
IWOSLDUAAMOOBE-IYARVYRRSA-N,1,,0
AFUKYYCEJQNSBL-IYARVYRRSA-N,1,,0
YOAZLAJFKSOXOC-PAVFIEEWSA-N,1,,0
CPYQIOWHIBJHPE-KESTWPANSA-N,1,,0
YJBVDNFZPGPMBN-MIRVZWSXSA-N,1,,0
WJCGSXAVQDDUOT-UHFFFAOYSA-N,1,,0
IDZASIQMRGPBCQ-UHFFFAOYSA-N,1,9.525061147981562,2
DEHCRGUCEKMKFX-OWOJBTEDSA-N,1,9.522878745280337,1
XCARDCCUPWWHMP-UHFFFAOYSA-N,1,9.522878745280337,1
AMKQYZPSQCPQGB-UHFFFAOYSA-N,1,9.522878745280337,1
PECNNRFECBMDBM-UHFFFAOYSA-N,1,9.522878745280337,1
WDIQJDYEIWJBCZ-LUBYNABHSA-N,1,,0
XEGOZLJTQYIDPV-IZUATPNUSA-N,1,,0
MPKOEBIUVHSEOH-ZVWHWTBFSA-N,1,,0
OWSJXULEJAVZGP-DLBZAZTESA-N,1,,0
YEUOAQOPSABWMD-KESTWPANSA-N,1,,0
ZBTNZGPMSDHVKB-UAPYVXQJSA-N,1,,0
BSHSURCBEXYRBE-UAPYVXQJSA-N,1,,0
JSGNRGPOORCANZ-SDNWHVSQSA-N,1,,0
XEJNCXFNKSUHHY-UHFFFAOYSA-N,1,,0
LCZMXKRXXCYHBB-WGSAOQKQSA-N,1,,0
DSNSWHGDQTZOTM-IYARVYRRSA-N,1,,0
ASYRWYXXPRLTPR-UHFFFAOYSA-N,1,,0
ASYRWYXXPRLTPR-FNNGWQQSSA-N,1,,0
YDOILAGGRVCPSJ-VJMAFPLCSA-N,1,,0
WDJJKEWRFILELR-WKILWMFISA-N,1,,0
BSWZSZOYSSLNOY-IHRKKFBRSA-N,1,,0
DQWJWRGJUJYEGP-QAQDUYKDSA-N,1,,0
ZNDQQIIBZBVUEP-QAQDUYKDSA-N,1,,0
CTRVTEOXKBMCKO-QPPBQGQZSA-N,1,,0
QQJHRQZZCNYDMX-VPUSJEBWSA-N,1,9.500038134403809,1
BGEAJJAWRXRQLO-UHFFFAOYSA-N,1,9.500038134403809,2
JARNORYOPMINDY-UHFFFAOYSA-N,1,9.500038134403809,3
CWADTSDGYTVLDK-UHFFFAOYSA-N,1,9.500038134403809,1
KBYDKOYJEQUBOE-NBGIEHNGSA-N,1,9.500038134403809,1
HZISGJVOPZSKRZ-QPPBQGQZSA-N,1,,0
IRVKXZUMTITJIC-UHFFFAOYSA-N,1,9.494850021680094,3
QBLXQBNQMNADCM-QAQDUYKDSA-N,1,,0
WNJFVRDWMYZFCD-JKSUJKDBSA-N,1,,0
KSPKVSHQLXLKIQ-ZVWHWTBFSA-N,1,,0
MBCROYIVEQFERC-IYARVYRRSA-N,1,,0
KIRVGEZJDUEMOH-RZJSWYKGSA-N,1,,0
DPZGNBYQYWDDEZ-WKILWMFISA-N,1,,0
CAAIZYOGVIMUEU-KOEQRZSOSA-N,1,,0
DKGZKTPJOSAWFA-UHFFFAOYSA-N,1,9.522878745280337,6
HRXRYNFLHBSTFS-BUHFOSPRSA-N,1,9.481486060122112,2
USGFBEWNXKQBDG-UHFFFAOYSA-N,1,9.481486060122112,3
TXJZKUBFJGPDAH-FQEVSTJZSA-N,1,,0
UOSSMYDHMWQSDB-UHFFFAOYSA-N,1,,0
FIHJHWNDFUFQRI-IZBCBXDISA-N,1,,0
XHTUKQHIWDPDMZ-XUTJKUGGSA-N,1,,0
QOFRSPQAWIAXCA-ZSQTZEJBSA-N,1,,0
CAUZGOJSULUNOZ-YJLYGGOZSA-N,1,,0
ADGRZRHCVXPKAN-UHFFFAOYSA-N,1,,0
YQJSOEKFOQHZGK-FAQVEIGNSA-N,1,9.468521082957745,1
OSAOKFNDHSEFAK-UHFFFAOYSA-N,1,9.468521082957745,1
YNOWHDNGRNBDQJ-UHFFFAOYSA-N,1,,0
WOOSSNMEFYDJFX-IFSQOONMSA-N,1,,0
QQVCXXKIFUBWJB-IYARVYRRSA-N,1,,0
NRTBOHXSGLSYAH-KKLQWCBXSA-N,1,,0
SOXRFGOVSJBYRC-UHFFFAOYSA-N,1,,0
AUBVMUJWPOHAEW-UHFFFAOYSA-N,1,9.45001638884031,1
IZZNYYLQSUDWDO-UHFFFAOYSA-N,1,,0
KHTVRVDYYAMNRK-UHFFFAOYSA-N,1,9.443697499232712,1
ULQCYDXROAATLP-AQYVVDRMSA-N,1,,0
MCFFIBILMUFGPB-GGYDESQDSA-N,1,,0
TWAGQMOSGNQWTA-WDRWKGISSA-N,1,,0
LHGVDYIWDBIZNF-VLZXCDOPSA-N,1,,0
YLLFOYMWGWZZIG-WGSAOQKQSA-N,1,,0
OGRCIXTZMPQEAX-JKIUYZKVSA-N,1,,0
XCMZICLYBMZMMQ-XGAFWQRZSA-N,1,,0
ZKIQTIIYWKTIGZ-GUJKFWMDSA-N,1,,0
AQCPIJGBSDFUKW-CVKSISIWSA-N,1,,0
VUBGTPVVYQBGQN-GLOFJIOZSA-N,1,9.431798275933005,1
YHMDCFXONGIJED-NGRWLJPCSA-N,1,9.431798275933005,1
LXBALWXAUSOISX-QAQDUYKDSA-N,1,,0
SWBDXLYGHQRFIV-WGSAOQKQSA-N,1,,0
OIPJHHKEXPIMJA-WGSAOQKQSA-N,1,,0
BHFHISLIGZMIKQ-WGSAOQKQSA-N,1,,0
OVJRPKRJFYSRHL-VQTJNVASSA-N,1,,0
OTSVAHKQZLNXPN-HXUWFJFHSA-N,1,,0
PWYAMFWGADVMGC-SDNWHVSQSA-N,1,9.42021640338319,1
VGPQHQDBSBJSAG-UHFFFAOYSA-N,1,9.42021640338319,1
VKJZURAABIJNTM-UHFFFAOYSA-N,1,,0
ABXQTPKTPDAAGS-XGAFWQRZSA-N,1,,0
NWTLRPXTJVTFDS-QRCZIWRFSA-N,1,,0
DTLXZNWCYSVXJZ-UHFFFAOYSA-N,1,9.419987887470576,1
RFLFOJAXSFSCDA-UHFFFAOYSA-N,1,9.410050398674292,1
FRKKVNDZDTXASV-UHFFFAOYSA-N,1,9.4089353929735,1
KHORMSFWFAFWPW-UHFFFAOYSA-N,1,,0
FGTPWKOXAMOVMM-MIRVZWSXSA-N,1,,0
QPGOCVOZYYHHFI-DSFVOBFGSA-N,1,,0
AXZLMPRGGDXHFB-UHFFFAOYSA-N,1,,0
MJTGBGFLMDUFKD-UHFFFAOYSA-N,1,,0
QRRCESJWXMIGPS-SIKLNZKXSA-N,1,,0
NVCMKCBLQDUADQ-UHFFFAOYSA-N,1,9.400007822415901,1
HMXWHDMFAKYACA-UHFFFAOYSA-N,1,9.400007822415901,1
AJEQJTPMMJPNLR-UHFFFAOYSA-N,1,,0
HGEYJZMMUGWEOT-UHFFFAOYSA-N,1,9.397940008672037,1
NJDDOYGAHXQMEQ-CQSZACIVSA-N,1,9.397940008672037,1
ZLYZZQJTZBMSMX-UHFFFAOYSA-N,1,9.397940008672037,1
VLHYFLPLTQFSPU-UHFFFAOYSA-N,1,9.397940008672037,1
KWNJJPLLFRQMRI-IYARVYRRSA-N,1,,0
LAPJQCOVOJOXOO-ZWKOTPCHSA-N,1,,0
KERPVCHNBDHHAB-IYARVYRRSA-N,1,,0
IKGGAFYATOQLDS-BZSJWONHSA-N,1,,0
